month_day,year,title,platform,note
02-27,1996,ポケットモンスター 赤・緑,ゲームボーイ,シリーズの原点。世界的ブームの始まり
03-03,2017,Nintendo Switch 本体,Nintendo Switch,携帯・据え置き両対応の現行ハード
03-11,2004,モンスターハンター,PlayStation 2,協力プレイ×ハンティングアクションの原点
03-20,2020,あつまれ どうぶつの森,Nintendo Switch,シリーズ最大のヒット作
03-22,1996,バイオハザード,PlayStation,サバイバルホラーというジャンルを広めた一作
05-27,1986,ドラゴンクエスト,ファミリーコンピュータ,国産RPGブームの原点
05-28,2015,スプラトゥーン,Wii U,インクを使ったシューティングの新境地
07-15,1983,ファミリーコンピュータ 本体,ファミリーコンピュータ,家庭用ゲーム機の代名詞
09-13,1985,スーパーマリオブラザーズ,ファミリーコンピュータ,横スクロールアクションの金字塔
11-21,1998,ゼルダの伝説 時のオカリナ,NINTENDO64,3Dアクションアドベンチャーの傑作
12-02,2006,Wii 本体,Wii,モーションコントロールで新しい遊びを提案
12-03,1994,PlayStation 本体,PlayStation,3Dグラフィックス時代を切り開いたハード
02-14,2003,ゲームボーイアドバンスSP 本体,ゲームボーイアドバンスSP,折りたたみ式・バックライト搭載で人気に
02-22,2002,Xbox 本体,Xbox,マイクロソフト初の家庭用ゲーム機
02-22,2014,PlayStation 4 本体,PlayStation 4,SNS連携やシェア機能を強化した据え置き機
02-26,2011,ニンテンドー3DS 本体,ニンテンドー3DS,裸眼立体視を実現した携帯機
02-27,2016,ニンテンドー2DS 本体,ニンテンドー2DS,折りたたまない廉価モデル
03-02,2006,ニンテンドーDS Lite 本体,ニンテンドーDS Lite,薄型・軽量化で幅広い層に浸透
03-04,1999,ワンダースワン 本体,ワンダースワン,バンダイとゲームフリークが開発した携帯機
03-04,2000,PlayStation 2 本体,PlayStation 2,DVD再生にも対応した大ヒット機
03-19,1999,ネオジオポケットカラー 本体,ネオジオポケットカラー,カラー液晶を搭載した後継機
03-21,2001,ゲームボーイアドバンス 本体,ゲームボーイアドバンス,横型デザインに一新した携帯機
04-21,1989,ゲームボーイ 本体,ゲームボーイ,携帯ゲーム機ブームの火付け役
06-05,2025,Nintendo Switch 2 本体,Nintendo Switch 2,後方互換を備えた次世代機
06-23,1996,NINTENDO64 本体,NINTENDO64,3Dスティックを標準搭載した64ビット機
07-01,1991,ネオジオ 本体,ネオジオ,アーケード基板をそのまま楽しめる高性能機
07-12,2017,ニンテンドー2DS LL 本体,ニンテンドー2DS LL,3D機能を省いた低価格モデル
07-15,1983,SG-1000 本体,SG-1000,セガ初の家庭用ゲーム機
07-28,2012,ニンテンドー3DS LL 本体,ニンテンドー3DS LL,画面サイズを拡大した上位モデル
09-04,2014,Xbox One 本体,Xbox One,Kinect同梱でスタートした据え置き機
09-09,1994,ネオジオCD 本体,ネオジオCD,CD-ROMでネオジオを安価に楽しめるモデル
09-14,2001,ゲームキューブ 本体,ゲームキューブ,光ディスク採用のコンパクトな据え置き機
09-20,2019,Nintendo Switch Lite 本体,Nintendo Switch Lite,携帯専用に特化した廉価モデル
10-06,1990,ゲームギア 本体,ゲームギア,カラー液晶搭載の携帯機
10-11,2014,Newニンテンドー3DS 本体,Newニンテンドー3DS,処理性能を強化した新モデル
10-11,2014,Newニンテンドー3DS LL 本体,Newニンテンドー3DS LL,大画面と強化性能を両立
10-18,1987,セガ・マスターシステム 本体,セガ・マスターシステム,海外展開も見据えた改良モデル
10-20,1985,セガ・マークⅢ 本体,セガ・マークⅢ,セガの据え置き機第2世代
10-21,1998,ゲームボーイカラー 本体,ゲームボーイカラー,携帯機に本格カラー液晶をもたらした一台
10-28,1998,ネオジオポケット 本体,ネオジオポケット,SNK初の携帯ゲーム機
10-29,1988,メガドライブ 本体,メガドライブ,16ビット競争の先陣を切った一台
10-30,1987,PCエンジン 本体,PCエンジン,コンパクトな筐体が話題になった一台
11-01,2008,ニンテンドーDSi 本体,ニンテンドーDSi,カメラ機能とDSiウェアを搭載
11-01,2008,ニンテンドーDSi LL 本体,ニンテンドーDSi LL,大画面化したDSiの上位モデル
11-07,2024,PlayStation 5 Pro 本体,PlayStation 5 Pro,グラフィック性能を強化した上位モデル
11-10,2016,PlayStation 4 Pro 本体,PlayStation 4 Pro,4K出力に対応した上位モデル
11-10,2020,Xbox Series S 本体,Xbox Series S,コンパクトで手頃な次世代機
11-10,2020,Xbox Series X 本体,Xbox Series X,最上位モデルとして発売された次世代機
11-11,2006,PlayStation 3 本体,PlayStation 3,Blu-ray再生に対応した高性能機
11-12,2020,PlayStation 5 本体,PlayStation 5,超高速SSDを搭載した次世代機
11-21,1990,スーパーファミコン 本体,スーパーファミコン,16ビット時代を牽引した名機
11-22,1994,セガサターン 本体,セガサターン,2Dグラフィックに強みを持つ据え置き機
11-27,1998,ドリームキャスト 本体,ドリームキャスト,標準でネット接続に対応した意欲作
12-02,2004,ニンテンドーDS 本体,ニンテンドーDS,2画面・タッチパネルで新しい遊びを提案
12-08,2012,Wii U(ベーシック) 本体,Wii U,タブレット型コントローラーを採用
12-08,2012,Wii U(プレミアム) 本体,Wii U,大容量ストレージを備えた上位セット
12-09,2000,ワンダースワンカラー 本体,ワンダースワンカラー,カラー液晶化した後継携帯機
12-10,2005,Xbox 360 本体,Xbox 360,オンライン対戦を大きく広めた一台
12-12,2004,PlayStation Portable 本体,PlayStation Portable,据え置き機並みの映像を実現した携帯機
12-17,2011,PlayStation Vita（Wi-Fiモデル） 本体,PlayStation Vita,有機ELを採用した携帯機
12-17,2011,PlayStation Vita（3G/Wi-Fiモデル） 本体,PlayStation Vita,3G通信にも対応したモデル
